Freq.	V(out)/V(n002)
1.00000000000000e+000	(1.07193488625095e+002dB,-3.80836116421883e+000°)
1.00230523807790e+000	(1.07193400191914e+002dB,-3.81711441940023e+000°)
1.00461579027840e+000	(1.07193311352357e+002dB,-3.82588767386175e+000°)
1.00693166885180e+000	(1.07193222104565e+002dB,-3.83468097247268e+000°)
1.00925288607668e+000	(1.07193132446671e+002dB,-3.84349436019732e+000°)
1.01157945425990e+000	(1.07193042376799e+002dB,-3.85232788209507e+000°)
1.01391138573668e+000	(1.07192951893064e+002dB,-3.86118158332063e+000°)
1.01624869287070e+000	(1.07192860993573e+002dB,-3.87005550912416e+000°)
1.01859138805412e+000	(1.07192769676425e+002dB,-3.87894970485141e+000°)
1.02093948370768e+000	(1.07192677939709e+002dB,-3.88786421594392e+000°)
1.02329299228075e+000	(1.07192585781507e+002dB,-3.89679908793916e+000°)
1.02565192625141e+000	(1.07192493199891e+002dB,-3.90575436647069e+000°)
1.02801629812647e+000	(1.07192400192926e+002dB,-3.91473009726834e+000°)
1.03038612044162e+000	(1.07192306758665e+002dB,-3.92372632615834e+000°)
1.03276140576140e+000	(1.07192212895155e+002dB,-3.93274309906350e+000°)
1.03514216667934e+000	(1.07192118600434e+002dB,-3.94178046200339e+000°)
1.03752841581801e+000	(1.07192023872529e+002dB,-3.95083846109446e+000°)
1.03992016582906e+000	(1.07191928709461e+002dB,-3.95991714255022e+000°)
1.04231742939330e+000	(1.07191833109240e+002dB,-3.96901655268141e+000°)
1.04472021922080e+000	(1.07191737069867e+002dB,-3.97813673789615e+000°)
1.04712854805090e+000	(1.07191640589335e+002dB,-3.98727774470010e+000°)
1.04954242865232e+000	(1.07191543665627e+002dB,-3.99643961969663e+000°)
1.05196187382322e+000	(1.07191446296718e+002dB,-4.00562240958698e+000°)
1.05438689639126e+000	(1.07191348480573e+002dB,-4.01482616117039e+000°)
1.05681750921366e+000	(1.07191250215147e+002dB,-4.02405092134429e+000°)
1.05925372517729e+000	(1.07191151498387e+002dB,-4.03329673710449e+000°)
1.06169555719872e+000	(1.07191052328231e+002dB,-4.04256365554527e+000°)
1.06414301822431e+000	(1.07190952702606e+002dB,-4.05185172385958e+000°)
1.06659612123026e+000	(1.07190852619431e+002dB,-4.06116098933921e+000°)
1.06905487922266e+000	(1.07190752076616e+002dB,-4.07049149937492e+000°)
1.07151930523761e+000	(1.07190651072060e+002dB,-4.07984330145663e+000°)
1.07398941234124e+000	(1.07190549603653e+002dB,-4.08921644317356e+000°)
1.07646521362983e+000	(1.07190447669277e+002dB,-4.09861097221439e+000°)
1.07894672222983e+000	(1.07190345266802e+002dB,-4.10802693636743e+000°)
1.08143395129794e+000	(1.07190242394090e+002dB,-4.11746438352078e+000°)
1.08392691402120e+000	(1.07190139048993e+002dB,-4.12692336166248e+000°)
1.08642562361706e+000	(1.07190035229352e+002dB,-4.13640391888067e+000°)
1.08893009333343e+000	(1.07189930933001e+002dB,-4.14590610336375e+000°)
1.09144033644876e+000	(1.07189826157762e+002dB,-4.15542996340054e+000°)
1.09395636627209e+000	(1.07189720901448e+002dB,-4.16497554738047e+000°)
1.09647819614318e+000	(1.07189615161861e+002dB,-4.17454290379366e+000°)
1.09900583943252e+000	(1.07189508936794e+002dB,-4.18413208123118e+000°)
1.10153930954141e+000	(1.07189402224031e+002dB,-4.19374312838513e+000°)
1.10407861990207e+000	(1.07189295021345e+002dB,-4.20337609404881e+000°)
1.10662378397766e+000	(1.07189187326498e+002dB,-4.21303102711693e+000°)
1.10917481526240e+000	(1.07189079137243e+002dB,-4.22270797658570e+000°)
1.11173172728159e+000	(1.07188970451323e+002dB,-4.23240699155305e+000°)
1.11429453359173e+000	(1.07188861266470e+002dB,-4.24212812121875e+000°)
1.11686324778056e+000	(1.07188751580407e+002dB,-4.25187141488455e+000°)
1.11943788346715e+000	(1.07188641390846e+002dB,-4.26163692195439e+000°)
1.12201845430196e+000	(1.07188530695487e+002dB,-4.27142469193453e+000°)
1.12460497396692e+000	(1.07188419492023e+002dB,-4.28123477443370e+000°)
1.12719745617551e+000	(1.07188307778134e+002dB,-4.29106721916327e+000°)
1.12979591467280e+000	(1.07188195551491e+002dB,-4.30092207593741e+000°)
1.13240036323556e+000	(1.07188082809753e+002dB,-4.31079939467323e+000°)
1.13501081567231e+000	(1.07187969550570e+002dB,-4.32069922539094e+000°)
1.13762728582343e+000	(1.07187855771581e+002dB,-4.33062161821403e+000°)
1.14024978756117e+000	(1.07187741470413e+002dB,-4.34056662336939e+000°)
1.14287833478977e+000	(1.07187626644684e+002dB,-4.35053429118751e+000°)
1.14551294144553e+000	(1.07187511292000e+002dB,-4.36052467210260e+000°)
1.14815362149688e+000	(1.07187395409957e+002dB,-4.37053781665274e+000°)
1.15080038894443e+000	(1.07187278996141e+002dB,-4.38057377548008e+000°)
1.15345325782109e+000	(1.07187162048125e+002dB,-4.39063259933094e+000°)
1.15611224219210e+000	(1.07187044563472e+002dB,-4.40071433905603e+000°)
1.15877735615512e+000	(1.07186926539735e+002dB,-4.41081904561053e+000°)
1.16144861384034e+000	(1.07186807974455e+002dB,-4.42094677005431e+000°)
1.16412602941049e+000	(1.07186688865161e+002dB,-4.43109756355204e+000°)
1.16680961706096e+000	(1.07186569209374e+002dB,-4.44127147737337e+000°)
1.16949939101987e+000	(1.07186449004600e+002dB,-4.45146856289307e+000°)
1.17219536554813e+000	(1.07186328248335e+002dB,-4.46168887159120e+000°)
1.17489755493953e+000	(1.07186206938066e+002dB,-4.47193245505323e+000°)
1.17760597352080e+000	(1.07186085071266e+002dB,-4.48219936497025e+000°)
1.18032063565173e+000	(1.07185962645398e+002dB,-4.49248965313907e+000°)
1.18304155572516e+000	(1.07185839657913e+002dB,-4.50280337146238e+000°)
1.18576874816716e+000	(1.07185716106250e+002dB,-4.51314057194893e+000°)
1.18850222743702e+000	(1.07185591987838e+002dB,-4.52350130671369e+000°)
1.19124200802737e+000	(1.07185467300093e+002dB,-4.53388562797791e+000°)
1.19398810446427e+000	(1.07185342040420e+002dB,-4.54429358806943e+000°)
1.19674053130724e+000	(1.07185216206212e+002dB,-4.55472523942267e+000°)
1.19949930314938e+000	(1.07185089794852e+002dB,-4.56518063457889e+000°)
1.20226443461741e+000	(1.07184962803707e+002dB,-4.57565982618630e+000°)
1.20503594037179e+000	(1.07184835230138e+002dB,-4.58616286700021e+000°)
1.20781383510678e+000	(1.07184707071488e+002dB,-4.59668980988318e+000°)
1.21059813355048e+000	(1.07184578325094e+002dB,-4.60724070780519e+000°)
1.21338885046497e+000	(1.07184448988276e+002dB,-4.61781561384377e+000°)
1.21618600064636e+000	(1.07184319058344e+002dB,-4.62841458118415e+000°)
1.21898959892486e+000	(1.07184188532598e+002dB,-4.63903766311942e+000°)
1.22179966016487e+000	(1.07184057408322e+002dB,-4.64968491305067e+000°)
1.22461619926504e+000	(1.07183925682790e+002dB,-4.66035638448715e+000°)
1.22743923115840e+000	(1.07183793353263e+002dB,-4.67105213104639e+000°)
1.23026877081238e+000	(1.07183660416991e+002dB,-4.68177220645440e+000°)
1.23310483322890e+000	(1.07183526871211e+002dB,-4.69251666454575e+000°)
1.23594743344451e+000	(1.07183392713146e+002dB,-4.70328555926378e+000°)
1.23879658653036e+000	(1.07183257940008e+002dB,-4.71407894466070e+000°)
1.24165230759241e+000	(1.07183122548997e+002dB,-4.72489687489777e+000°)
1.24451461177138e+000	(1.07182986537300e+002dB,-4.73573940424543e+000°)
1.24738351424294e+000	(1.07182849902090e+002dB,-4.74660658708344e+000°)
1.25025903021771e+000	(1.07182712640529e+002dB,-4.75749847790104e+000°)
1.25314117494141e+000	(1.07182574749766e+002dB,-4.76841513129709e+000°)
1.25602996369487e+000	(1.07182436226936e+002dB,-4.77935660198020e+000°)
1.25892541179416e+000	(1.07182297069162e+002dB,-4.79032294476890e+000°)
1.26182753459066e+000	(1.07182157273555e+002dB,-4.80131421459178e+000°)
1.26473634747115e+000	(1.07182016837212e+002dB,-4.81233046648760e+000°)
1.26765186585784e+000	(1.07181875757217e+002dB,-4.82337175560548e+000°)
1.27057410520854e+000	(1.07181734030641e+002dB,-4.83443813720502e+000°)
1.27350308101666e+000	(1.07181591654541e+002dB,-4.84552966665641e+000°)
1.27643880881134e+000	(1.07181448625964e+002dB,-4.85664639944065e+000°)
1.27938130415752e+000	(1.07181304941939e+002dB,-4.86778839114963e+000°)
1.28233058265602e+000	(1.07181160599485e+002dB,-4.87895569748628e+000°)
1.28528665994361e+000	(1.07181015595607e+002dB,-4.89014837426471e+000°)
1.28824955169313e+000	(1.07180869927297e+002dB,-4.90136647741038e+000°)
1.29121927361353e+000	(1.07180723591532e+002dB,-4.91261006296021e+000°)
1.29419584144998e+000	(1.07180576585277e+002dB,-4.92387918706272e+000°)
1.29717927098395e+000	(1.07180428905482e+002dB,-4.93517390597819e+000°)
1.30016957803328e+000	(1.07180280549084e+002dB,-4.94649427607877e+000°)
1.30316677845229e+000	(1.07180131513007e+002dB,-4.95784035384864e+000°)
1.30617088813183e+000	(1.07179981794161e+002dB,-4.96921219588412e+000°)
1.30918192299940e+000	(1.07179831389441e+002dB,-4.98060985889388e+000°)
1.31219989901920e+000	(1.07179680295729e+002dB,-4.99203339969896e+000°)
1.31522483219223e+000	(1.07179528509893e+002dB,-5.00348287523300e+000°)
1.31825673855640e+000	(1.07179376028787e+002dB,-5.01495834254235e+000°)
1.32129563418657e+000	(1.07179222849251e+002dB,-5.02645985878619e+000°)
